SID,SVOLT,SOV,TORN,SORN,TSN,TEMP,CURRENT
531,48.0,0.0,1,1,3-11-4517,35.75,-5.550775e-08
531,48.0,0.0,1,2,3-11-4517,35.812,-5.508496e-08
531,48.0,0.0,1,3,3-11-4517,35.812,-5.672964e-08
531,48.0,0.0,1,4,3-11-4517,35.875,-5.517338e-08
531,48.0,0.0,1,5,3-11-4517,35.875,-5.735201e-08
531,48.0,0.0,1,6,3-11-4517,35.875,-5.56652e-08
531,48.0,0.0,1,7,3-11-4517,35.875,-5.963221e-08
531,48.0,0.0,1,8,3-11-4517,35.937,-5.749569e-08
531,48.0,0.0,1,9,3-11-4517,35.937,-6.244424e-08
531,48.0,0.0,1,10,3-11-4517,35.937,-5.844824e-08
531,48.0,0.0,1,11,3-11-4517,36.0,-6.334292e-08
531,48.0,0.0,1,12,3-11-4517,36.0,-5.968884e-08
531,48.0,0.0,1,13,3-11-4517,36.0,-6.157803e-08
531,48.0,0.0,1,14,3-11-4517,36.0,-5.636971e-08
531,48.0,0.0,1,15,3-11-4517,36.0,-6.272677e-08
531,48.0,0.0,1,16,3-11-4517,36.0,-6.085415e-08
531,48.0,0.0,2,1,3-11-4519,36.625,-5.909085e-08
531,48.0,0.0,2,2,3-11-4519,36.625,-5.596797e-08
531,48.0,0.0,2,3,3-11-4519,36.687,-5.59942e-08
531,48.0,0.0,2,4,3-11-4519,36.75,-5.460857e-08
531,48.0,0.0,2,5,3-11-4519,36.75,-6.227238e-08
531,48.0,0.0,2,6,3-11-4519,36.75,-5.98783e-08
531,48.0,0.0,2,7,3-11-4519,36.812,-6.236014e-08
531,48.0,0.0,2,8,3-11-4519,36.812,-6.022645e-08
531,48.0,0.0,2,9,3-11-4519,36.812,-5.941203e-08
531,48.0,0.0,2,10,3-11-4519,36.875,-6.453875e-08
531,48.0,0.0,2,11,3-11-4519,36.875,-6.305986e-08
531,48.0,0.0,2,12,3-11-4519,36.937,-5.741166e-08
531,48.0,0.0,2,13,3-11-4519,36.875,-6.396131e-08
531,48.0,0.0,2,14,3-11-4519,36.875,-6.326363e-08
531,48.0,0.0,2,15,3-11-4519,36.937,-6.152712e-08
531,48.0,0.0,2,16,3-11-4519,36.937,-5.876414e-08
531,48.0,0.0,3,1,3-11-4520,36.562,-5.440046e-08
531,48.0,0.0,3,2,3-11-4520,36.562,-5.622403e-08
